game,json_file,parser,total_codes,wram_codes,unsupported_codes,triggers,needs_review
ActRaiser 2 [ESP],rumble\snes\actraiser_2_esp.json,retroarch_kv,44,0,44,0,0
Actraiser 2,rumble\snes\actraiser_2.json,retroarch_kv,44,0,44,0,0
ActRaiser J ESP IPS,rumble\snes\actraiser_j_esp_ips.json,retroarch_kv,20,0,20,0,0
"Adventures of Batman & Robin, The (USA)",rumble\snes\adventures_of_batman_robin_the_usa.json,retroarch_kv,14,14,0,7,0
Aladdin (Spain),rumble\snes\aladdin_spain.json,retroarch_kv,9,9,0,5,0
Alien 3 (ESP),rumble\snes\alien_3_esp.json,retroarch_kv,17,0,17,0,0
Arkanoid - Doh It Again (USA),rumble\snes\arkanoid_doh_it_again_usa.json,retroarch_kv,7,0,7,0,0
Art of Fighting (USA),rumble\snes\art_of_fighting_usa.json,retroarch_kv,4,0,4,0,0
Axelay (USA),rumble\snes\axelay_usa.json,retroarch_kv,38,0,38,0,0
Batman Returns (USA),rumble\snes\batman_returns_usa.json,retroarch_kv,28,0,28,0,0
Blacktorne [Esp],rumble\snes\blacktorne_esp.json,retroarch_kv,2,0,2,0,0
Breath of Fire (S),rumble\snes\breath_of_fire_s.json,retroarch_kv,23,0,23,0,0
Captain America and the Avengers U ESP IPS,rumble\snes\captain_america_and_the_avengers_u_esp_ips.json,retroarch_kv,4,0,4,0,0
Captain Commando [Esp],rumble\snes\captain_commando_esp.json,retroarch_kv,1,0,1,0,0
Castlevania - Dracula X (USA),rumble\snes\castlevania_dracula_x_usa.json,retroarch_kv,50,0,50,0,0
Chrono Trigger (USA) (1.01) (S),rumble\snes\chrono_trigger_usa_1_01_s.json,retroarch_kv,44,0,44,0,0
Contra III - The Alien Wars (USA),rumble\snes\contra_iii_the_alien_wars_usa.json,retroarch_kv,30,0,30,0,0
Cool Spot (USA),rumble\snes\cool_spot_usa.json,retroarch_kv,12,0,12,0,0
Cybernator (S),rumble\snes\cybernator_s.json,retroarch_kv,33,0,33,0,0
Darius Twin (USA),rumble\snes\darius_twin_usa.json,retroarch_kv,104,0,104,0,0
"Death and Return of Superman, The (USA)",rumble\snes\death_and_return_of_superman_the_usa.json,retroarch_kv,3,0,3,0,0
Demon's Crest [Esp],rumble\snes\demon_s_crest_esp.json,retroarch_kv,31,0,31,0,0
Do-Re-Mi Fantasy - La busqueda de Milon (S),rumble\snes\do_re_mi_fantasy_la_busqueda_de_milon_s.json,retroarch_kv,4,4,0,4,2
Donkey Kong Contry [Esp],rumble\snes\donkey_kong_contry_esp.json,retroarch_kv,7,0,7,0,0
"Donkey Kong Country 2 - Diddy's Kong Quest (USA) (En,Fr)",rumble\snes\donkey_kong_country_2_diddy_s_kong_quest_usa_en_fr.json,retroarch_kv,48,0,48,0,0
"Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (En,Fr)",rumble\snes\donkey_kong_country_3_dixie_kong_s_double_trouble_usa_en_fr.json,retroarch_kv,1,0,1,0,0
Dragon - The Bruce Lee Story (USA),rumble\snes\dragon_the_bruce_lee_story_usa.json,retroarch_kv,19,18,1,18,18
EarthBound (S),rumble\snes\earthbound_s.json,retroarch_kv,30,0,30,0,0
Earthworm Jim (USA),rumble\snes\earthworm_jim_usa.json,retroarch_kv,5,0,5,0,0
Earthworm Jim 2 (USA),rumble\snes\earthworm_jim_2_usa.json,retroarch_kv,25,0,25,0,0
F-Zero (USA),rumble\snes\f_zero_usa.json,retroarch_kv,13,0,13,0,0
Fatal Fury 2 (USA),rumble\snes\fatal_fury_2_usa.json,retroarch_kv,32,0,32,0,0
ff3,rumble\snes\ff3.json,retroarch_kv,77,77,0,15,3
Final Fantasy IV (S),rumble\snes\final_fantasy_iv_s.json,retroarch_kv,1,1,0,0,0
Final Fantasy VI (S),rumble\snes\final_fantasy_vi_s.json,retroarch_kv,95,48,47,0,0
Final Fight 1 [Esp],rumble\snes\final_fight_1_esp.json,csv,0,0,0,0,0
Final Fight 3 [Esp],rumble\snes\final_fight_3_esp.json,retroarch_kv,2,1,1,0,0
Flashback (S),rumble\snes\flashback_s.json,retroarch_kv,15,0,15,0,0
Goof Troop (USA),rumble\snes\goof_troop_usa.json,retroarch_kv,16,0,16,0,0
Gradius III (USA),rumble\snes\gradius_iii_usa.json,retroarch_kv,27,0,27,0,0
Hagane - The Final Conflict (USA),rumble\snes\hagane_the_final_conflict_usa.json,retroarch_kv,11,0,11,0,0
Indiana Jones' Greatest Adventures (USA),rumble\snes\indiana_jones_greatest_adventures_usa.json,retroarch_kv,14,12,2,12,12
International Superstar Soccer (USA),rumble\snes\international_superstar_soccer_usa.json,retroarch_kv,2,2,0,0,0
Jungle Strike (USA),rumble\snes\jungle_strike_usa.json,retroarch_kv,14,0,14,0,0
Killer Instinct (USA),rumble\snes\killer_instinct_usa.json,retroarch_kv,35,0,35,0,0
Kirby Super Star (USA),rumble\snes\kirby_super_star_usa.json,retroarch_kv,7,0,7,0,0
Kirby's Dream Course (USA),rumble\snes\kirby_s_dream_course_usa.json,retroarch_kv,10,6,4,5,3
Kirby's Dream Land 3 (USA),rumble\snes\kirby_s_dream_land_3_usa.json,retroarch_kv,5,0,5,0,0
Knights of the Round (S),rumble\snes\knights_of_the_round_s.json,retroarch_kv,27,0,27,0,0
Krusty's Super Fun House (USA) (Rev 1),rumble\snes\krusty_s_super_fun_house_usa_rev_1.json,retroarch_kv,52,0,52,0,0
Legend of the Mystical Ninja The ESP,rumble\snes\legend_of_the_mystical_ninja_the_esp.json,retroarch_kv,5,5,0,5,5
"Legend of Zelda, The - A Link to the Past (USA) (S)",rumble\snes\legend_of_zelda_the_a_link_to_the_past_usa_s.json,retroarch_kv,17,0,17,0,0
Lemmings (USA) (Rev 1),rumble\snes\lemmings_usa_rev_1.json,retroarch_kv,382,0,382,0,0
Lemmings 2 - The Tribes (USA),rumble\snes\lemmings_2_the_tribes_usa.json,retroarch_kv,7,0,7,0,0
"Lion King, The SPA",rumble\snes\lion_king_the_spa.json,retroarch_kv,5,0,5,0,0
Lost Vikings 2 (USA),rumble\snes\lost_vikings_2_usa.json,retroarch_kv,15,3,12,3,3
"Lost Vikings, The (S)",rumble\snes\lost_vikings_the_s.json,retroarch_kv,2,0,2,0,0
Magical Quest Starring Mickey Mouse [Esp],rumble\snes\magical_quest_starring_mickey_mouse_esp.json,retroarch_kv,23,0,23,0,0
Mega Man 7 (S),rumble\snes\mega_man_7_s.json,retroarch_kv,11,0,11,0,0
Mega Man X 2 [Esp],rumble\snes\mega_man_x_2_esp.json,retroarch_kv,96,0,96,0,0
Mega Man X 3 [Esp],rumble\snes\mega_man_x_3_esp.json,retroarch_kv,34,0,34,0,0
Mega Man X [Esp],rumble\snes\mega_man_x_esp.json,retroarch_kv,35,0,35,0,0
Metal Warriors (USA),rumble\snes\metal_warriors_usa.json,retroarch_kv,4,0,4,0,0
Mortal Kombat (USA),rumble\snes\mortal_kombat_usa.json,retroarch_kv,168,0,168,0,0
Mortal Kombat II (USA),rumble\snes\mortal_kombat_ii_usa.json,retroarch_kv,101,0,101,0,0
NBA Jam (USA),rumble\snes\nba_jam_usa.json,retroarch_kv,65,0,65,0,0
NBA Jam - Tournament Edition (USA),rumble\snes\nba_jam_tournament_edition_usa.json,retroarch_kv,25,0,25,0,0
Ninja Gaiden Trilogy (USA),rumble\snes\ninja_gaiden_trilogy_usa.json,csv,1,0,1,0,0
Ninjawarriors (USA),rumble\snes\ninjawarriors_usa.json,retroarch_kv,3,0,3,0,0
Out of this World (USA),rumble\snes\out_of_this_world_usa.json,retroarch_kv,6,3,3,3,3
Pilotwings (USA),rumble\snes\pilotwings_usa.json,retroarch_kv,25,0,25,0,0
Pocky Rocky (USA),rumble\snes\pocky_rocky_usa.json,retroarch_kv,18,0,18,0,0
Prince of Persia (S),rumble\snes\prince_of_persia_s.json,retroarch_kv,46,0,46,0,0
Prince of Persia 2 The Shadow and The Flame (S),rumble\snes\prince_of_persia_2_the_shadow_and_the_flame_s.json,retroarch_kv,2,0,2,0,0
R-Type III (USA),rumble\snes\r_type_iii_usa.json,retroarch_kv,8,3,5,3,3
Rock n' Roll Racing (USA),rumble\snes\rock_n_roll_racing_usa.json,retroarch_kv,36,0,36,0,0
Secret of Evermore (Spain),rumble\snes\secret_of_evermore_spain.json,retroarch_kv,4,0,4,0,0
Secret of Mana (USA)(S)(Remake),rumble\snes\secret_of_mana_usa_s_remake.json,retroarch_kv,38,0,38,0,0
SimCity (USA),rumble\snes\simcity_usa.json,retroarch_kv,25,0,25,0,0
SimCity 2000 - The Ultimate City Simulator (USA),rumble\snes\simcity_2000_the_ultimate_city_simulator_usa.json,retroarch_kv,9,0,9,0,0
Sparkster ESP Patch,rumble\snes\sparkster_esp_patch.json,retroarch_kv,3,3,0,3,0
Star Fox 2,rumble\snes\star_fox_2.json,retroarch_kv,3,0,3,0,0
Star Fox [Esp],rumble\snes\star_fox_esp.json,retroarch_kv,4,0,4,0,0
Street Fighter II - The World Warrior (S),rumble\snes\street_fighter_ii_the_world_warrior_s.json,retroarch_kv,31,0,31,0,0
Street Fighter II Turbo (USA),rumble\snes\street_fighter_ii_turbo_usa.json,retroarch_kv,183,56,127,2,2
Sunset Riders (USA),rumble\snes\sunset_riders_usa.json,retroarch_kv,2,0,2,0,0
Super Adventure Island (USA),rumble\snes\super_adventure_island_usa.json,retroarch_kv,13,0,13,0,0
Super Bomberman (USA),rumble\snes\super_bomberman_usa.json,retroarch_kv,39,35,4,5,1
Super Bomberman 2 (USA),rumble\snes\super_bomberman_2_usa.json,retroarch_kv,16,0,16,0,0
Super Castlevania IV [Esp],rumble\snes\super_castlevania_iv_esp.json,retroarch_kv,38,0,38,0,0
Super Double Dragon (USA),rumble\snes\super_double_dragon_usa.json,retroarch_kv,11,0,11,0,0
Super Ghouls'n Ghosts (USA),rumble\snes\super_ghouls_n_ghosts_usa.json,retroarch_kv,31,0,31,0,0
Super Mario All-Stars,rumble\snes\super_mario_all_stars.json,csv,0,0,0,0,0
Super Mario Kart (USA),rumble\snes\super_mario_kart_usa.json,csv,1,0,1,0,0
Super Mario RPG - Legend of the Seven Stars (USA)(S),rumble\snes\super_mario_rpg_legend_of_the_seven_stars_usa_s.json,retroarch_kv,59,0,59,0,0
Super Mario World 2,rumble\snes\super_mario_world_2.json,retroarch_kv,34,0,34,0,0
Super Mario World [Esp],rumble\snes\super_mario_world_esp.json,retroarch_kv,16,16,0,9,3
"Super Metroid (Japan, USA) (En,Ja)",rumble\snes\super_metroid_japan_usa_en_ja.json,retroarch_kv,3,0,3,0,0
Super Punch-Out!! (USA),rumble\snes\super_punch_out_usa.json,retroarch_kv,20,0,20,0,0
Super Soccer (USA),rumble\snes\super_soccer_usa.json,retroarch_kv,33,0,33,0,0
Super Star Wars (USA),rumble\snes\super_star_wars_usa.json,retroarch_kv,58,0,58,0,0
Super Star Wars - Return of the Jedi (USA),rumble\snes\super_star_wars_return_of_the_jedi_usa.json,retroarch_kv,24,14,10,5,2
Super Star Wars - The Empire Strikes Back (USA),rumble\snes\super_star_wars_the_empire_strikes_back_usa.json,retroarch_kv,55,0,55,0,0
Super Street Fighter II (USA),rumble\snes\super_street_fighter_ii_usa.json,retroarch_kv,52,50,2,22,22
Super Tennis (USA),rumble\snes\super_tennis_usa.json,retroarch_kv,114,0,114,0,0
Super Turrican 2 (USA),rumble\snes\super_turrican_2_usa.json,retroarch_kv,29,0,29,0,0
Teenage Mutant Ninja Turtles IV - Turtles in Time [Esp],rumble\snes\teenage_mutant_ninja_turtles_iv_turtles_in_time_esp.json,retroarch_kv,2,0,2,0,0
Tetris & Dr. Mario (USA),rumble\snes\tetris_dr_mario_usa.json,retroarch_kv,3,2,1,0,0
Tetris Attack [Esp],rumble\snes\tetris_attack_esp.json,retroarch_kv,12,0,12,0,0
Tiny Toon Adventures - Buster Busts Loose! (Spain),rumble\snes\tiny_toon_adventures_buster_busts_loose_spain.json,retroarch_kv,35,0,35,0,0
Top Gear (USA),rumble\snes\top_gear_usa.json,retroarch_kv,5,4,1,4,0
Top Gear 2 (USA),rumble\snes\top_gear_2_usa.json,retroarch_kv,7,6,1,4,0
U.N. Squadron [Esp],rumble\snes\u_n_squadron_esp.json,retroarch_kv,15,0,15,0,0
Ultimate Mortal Kombat 3 (USA),rumble\snes\ultimate_mortal_kombat_3_usa.json,retroarch_kv,10,0,10,0,0
Uniracers (ESP),rumble\snes\uniracers_esp.json,retroarch_kv,20,0,20,0,0
Wild Guns (USA),rumble\snes\wild_guns_usa.json,retroarch_kv,6,0,6,0,0
X-Men - Mutant Apocalypse [Esp],rumble\snes\x_men_mutant_apocalypse_esp.json,retroarch_kv,9,0,9,0,0
Zombies Ate My Neighbors (USA),rumble\snes\zombies_ate_my_neighbors_usa.json,retroarch_kv,57,0,57,0,0
